"","seq_orgao","seq_orgao_pai","latitude","longitude","placeId"
"137","10120","2027.0",-21.7627,-52.1043,"Ej5Bdi4gUHJlcy4gVmFyZ2FzLCAxMzEsIFByZXMuIEVwaXTDoWNpbyAtIFNQLCAxOTQ3MC0wMDAsIEJyYXppbCIbEhkKFAoSCSXSDBEtn5GUEUvHArnR59d5EIMB"
"138","10121","2027.0",-21.7627,-52.1043,"Ej5Bdi4gUHJlcy4gVmFyZ2FzLCAxMzEsIFByZXMuIEVwaXTDoWNpbyAtIFNQLCAxOTQ3MC0wMDAsIEJyYXppbCIbEhkKFAoSCSXSDBEtn5GUEUvHArnR59d5EIMB"
"139","10122","2034.0",-22.1302,-51.3921,"ChIJ5wxkRVL0k5QRIG8DVbf_pLE"
"140","10123","2034.0",-22.1302,-51.3921,"ChIJ5wxkRVL0k5QRIG8DVbf_pLE"
"141","10124","2034.0",-22.1302,-51.3921,"ChIJ5wxkRVL0k5QRIG8DVbf_pLE"
"142","10125","2034.0",-22.1302,-51.3921,"ChIJ5wxkRVL0k5QRIG8DVbf_pLE"
"143","10126","2034.0",-22.1302,-51.3921,"ChIJ5wxkRVL0k5QRIG8DVbf_pLE"
"144","10127","2034.0",-22.1302,-51.3921,"ChIJ5wxkRVL0k5QRIG8DVbf_pLE"
"145","10128","2034.0",-22.1302,-51.3921,"ChIJ5wxkRVL0k5QRIG8DVbf_pLE"
"146","10129","2034.0",-22.1302,-51.3921,"ChIJ5wxkRVL0k5QRIG8DVbf_pLE"
"147","1013","13635.0",-6.8513,-35.4922,"ChIJ-1b6ghC0rQcRJIGiYbnMbx0"
"148","10130","2034.0",-22.1302,-51.3921,"ChIJ5wxkRVL0k5QRIG8DVbf_pLE"
"149","10131","2034.0",-22.1302,-51.3921,"ChIJ5wxkRVL0k5QRIG8DVbf_pLE"
"150","10132","2034.0",-22.1302,-51.3921,"ChIJ5wxkRVL0k5QRIG8DVbf_pLE"
"151","10133","2034.0",-22.1302,-51.3921,"ChIJ5wxkRVL0k5QRIG8DVbf_pLE"
